Ingredient_EN,CO2_kg_per_kg,source,Country,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
"Rice cake, canned",0.12619443,French,Rwanda,2,2,2,1,2,1,2,0,2,1,0,2
"Rice cake, canned",0.21660152,French,United Arab Emirates,0,1,2,2,1,1,1,2,0,0,2,2
"Rice cake, canned",0.57215119,French,Falkland Islands (Malvinas),0,1,0,2,2,0,2,2,2,0,1,2
"Rice cake, canned",0.054161636,French,Cyprus,0,1,1,2,0,0,0,2,1,1,0,1
"Rice cake, canned",0.8300836199999999,French,Suriname,0,0,1,1,1,1,2,0,2,0,1,0
"Semolina cake with raisins and caramel, fresh produce section",0.035915197,French,Gabon,2,1,2,0,2,1,0,1,2,1,2,1
"Semolina cake with raisins and caramel, fresh produce section",0.83699856,French,Saudi Arabia,0,0,0,0,0,1,2,0,0,2,2,1
"Semolina cake with raisins and caramel, fresh produce section",0.053924345,French,"Taiwan, Province of China",0,0,1,0,0,0,2,1,2,0,1,1
"Semolina cake with raisins and caramel, fresh produce section",0.87317788,French,Portugal,0,2,2,1,1,0,2,0,0,2,0,0
"Semolina cake, canned",0.10437241,French,South Georgia and the South Sandwich Islands,0,2,2,1,2,0,2,2,0,2,0,2
"Semolina cake, canned",0.10064296,French,Guinea,1,0,1,2,0,2,2,1,2,1,1,1
"Semolina cake, canned",0.71266182,French,"Micronesia, Federated States of",2,2,0,1,2,1,2,0,1,0,1,0
"Semolina cake, canned",0.03215291,French,North Macedonia,0,2,1,2,1,1,1,0,0,1,1,1
"Semolina cake, canned",0.83006554,French,"Bolivia, Plurinational State of",1,1,0,1,2,0,0,2,2,2,2,0
"Floating island, cool ray",0.2699039,French,Sweden,1,2,0,0,0,2,1,1,2,2,0,1
"Floating island, cool ray",0.69547707,French,French Southern Territories,1,1,2,2,2,0,2,1,2,0,0,1
"Floating island, cool ray",0.076526298,French,Jamaica,0,2,0,2,1,1,0,1,1,1,0,1
"Floating island, cool ray",0.87308596,French,San Marino,0,1,0,0,1,2,1,0,0,1,0,2
"Fermented milk or dairy specialty such as yogurt, flavored, sweetened, with bifidus",0.11436849,French,North Macedonia,2,1,1,1,0,0,1,2,2,1,0,2
"Fermented milk or dairy specialty such as yogurt, flavored, sweetened, with bifidus",0.87828667,French,"Virgin Islands, U.S.",1,2,2,1,2,1,1,2,0,1,0,1
"Fermented milk or dairy specialty such as yogurt, flavored, sweetened, with bifidus",0.8820466499999999,French,"Congo, The Democratic Republic of the",1,2,2,2,0,2,2,2,0,1,1,0
"Fermented milk or dairy specialty such as yogurt, with fruit, sweetened, with bifidus",0.099845505,French,Antigua and Barbuda,2,1,0,0,1,2,2,1,0,2,0,0
"Fermented milk or dairy specialty such as yogurt, with fruit, sweetened, with bifidus",0.44891657,French,Greenland,1,2,1,2,2,0,1,1,1,2,0,2
"Fermented milk or dairy specialty such as yogurt, with fruit, sweetened, with bifidus",0.031288739,French,Central African Republic,2,1,2,1,0,1,0,2,1,1,0,2
"Fermented milk or dairy specialty such as yogurt, with fruit, sweetened, with bifidus",1.3081203870000002,French,Guernsey,1,2,1,2,1,1,1,2,2,1,1,2
"Fermented milk or dairy specialty such as yogurt, plain, with bifidus",0.10438394,French,Gabon,0,2,0,1,0,2,0,0,1,1,0,0
"Fermented milk or dairy specialty such as yogurt, plain, with bifidus",0.95453354,French,Samoa,0,1,2,2,2,2,1,2,0,2,1,1
"Fermented milk or dairy specialty such as yogurt, plain, with bifidus",0.83343468,French,Panama,1,1,1,1,1,0,1,1,0,0,2,2
"Flavored gelled milk, low in fat and sugar, fresh section",0.93523053,French,"Bolivia, Plurinational State of",0,2,0,1,0,0,1,1,1,1,2,0
"Flavored gelled milk, low in fat and sugar, fresh section",0.040100961,French,Singapore,2,1,2,2,1,2,0,2,1,2,2,2
"Flavored gelled milk, low in fat and sugar, fresh section",0.83343468,French,Chile,2,0,1,1,2,2,2,0,1,1,0,1
"Flavored gelled milk, caramel topped, fresh section",0.27414595,French,Malta,2,2,1,2,2,2,2,0,2,2,2,2
"Flavored gelled milk, caramel topped, fresh section",0.54337956,French,Montenegro,0,1,2,1,1,0,2,2,0,2,2,0
"Flavored gelled milk, caramel topped, fresh section",0.10648278,French,Nicaragua,0,0,2,1,1,1,1,1,0,2,0,2
"Flavored gelled milk, caramel topped, fresh section",0.83343468,French,Yemen,2,2,2,2,1,2,0,0,0,0,0,0
"Flavored gelled milk, fresh section",0.93523053,French,Australia,1,1,2,0,1,0,0,2,0,0,2,1
"Flavored gelled milk, fresh section",0.040100961,French,Saint Pierre and Miquelon,1,1,1,0,0,1,0,2,2,0,0,2
"Flavored gelled milk, fresh section",0.83343468,French,Bermuda,0,2,0,0,2,0,1,2,2,0,1,0
Liège with fruit,0.10457503,French,Ecuador,1,0,0,0,1,1,0,2,0,2,0,2
Liège with fruit,0.47018104,French,Chad,0,0,0,1,0,2,2,0,1,2,1,1
Liège with fruit,0.032770838,French,Zimbabwe,2,1,1,0,1,2,2,2,0,0,2,1
Liège with fruit,1.444798482,French,Guernsey,1,0,1,1,2,1,0,2,1,0,0,2
"Liégeois or Viennese (chocolate, coffee, caramel or vanilla), fresh produce section",3.4240367,French,Italy,2,1,2,0,2,0,2,0,0,0,0,1
"Liégeois or Viennese (chocolate, coffee, caramel or vanilla), fresh produce section",0.35841347,French,Ecuador,1,2,2,0,1,2,0,0,0,0,2,0
"Liégeois or Viennese (chocolate, coffee, caramel or vanilla), fresh produce section",0.52261867,French,Croatia,2,2,1,2,2,2,1,1,1,0,2,2
"Liégeois or Viennese (chocolate, coffee, caramel or vanilla), fresh produce section",0.047458169,French,South Georgia and the South Sandwich Islands,1,0,1,2,1,0,0,0,2,2,1,1
"Liégeois or Viennese (chocolate, coffee, caramel or vanilla), fresh produce section",0.87308596,French,"Micronesia, Federated States of",2,2,1,0,1,1,1,1,1,0,0,2
"Milkshake, from fast food",0.97548746,French,Burundi,1,0,1,0,1,1,1,2,0,0,0,0
"Milkshake, from fast food",0.041525898,French,Egypt,1,1,0,2,2,1,1,1,0,0,0,1
"Milkshake, from fast food",0.49301814,French,Western Sahara,2,1,0,0,0,0,2,1,0,2,1,1
"Chestnut cream mousse, fresh section",0.27996751,French,Japan,1,2,2,1,0,1,2,0,1,0,2,1
"Chestnut cream mousse, fresh section",0.41509281,French,Lao People's Democratic Republic,1,0,1,0,1,1,1,2,2,1,2,0
"Chestnut cream mousse, fresh section",0.64437139,French,Nigeria,0,2,0,2,2,1,1,1,0,1,0,1
"Chestnut cream mousse, fresh section",0.071187254,French,Namibia,0,2,1,0,1,2,0,2,1,1,2,0
"Chestnut cream mousse, fresh section",0.94762771,French,Burkina Faso,2,2,2,1,2,1,0,1,0,2,1,2
"Chocolate mousse (dairy base), fresh produce section",8.1411937,French,Malta,2,2,1,1,0,2,0,1,1,2,1,0
"Chocolate mousse (dairy base), fresh produce section",0.55562783,French,Malta,0,1,2,0,0,2,0,2,2,1,2,0
"Chocolate mousse (dairy base), fresh produce section",0.2598283,French,Ireland,0,2,1,0,1,0,1,0,2,2,2,2
"Chocolate mousse (dairy base), fresh produce section",0.72705796,French,Cyprus,1,2,0,0,2,0,2,0,1,2,2,1
"Traditional chocolate mousse, fresh section",8.1411937,French,Cambodia,0,2,2,2,2,2,0,2,2,1,2,0
"Traditional chocolate mousse, fresh section",0.55562783,French,Eswatini,0,0,1,2,1,1,0,2,2,2,0,2
"Traditional chocolate mousse, fresh section",0.2598283,French,Bahrain,1,1,2,0,0,0,2,1,1,2,0,1
"Traditional chocolate mousse, fresh section",0.80159971,French,Mexico,0,2,0,2,2,2,2,1,2,0,0,1
"Fruit mousse, fresh produce section",0.27996751,French,Palau,2,1,2,2,1,0,1,2,0,1,0,2
"Fruit mousse, fresh produce section",0.41509281,French,Belgium,1,1,1,0,1,1,2,1,0,0,0,2
"Fruit mousse, fresh produce section",0.64437139,French,Equatorial Guinea,0,2,0,0,1,1,0,0,0,2,2,2
"Fruit mousse, fresh produce section",0.071187254,French,Saint Pierre and Miquelon,0,1,1,2,0,1,2,2,2,1,0,2
"Fruit mousse, fresh produce section",0.87308596,French,Somalia,0,0,0,0,1,1,0,1,0,0,2,0
"Liège mousse (chocolate, coffee, caramel or vanilla), fresh produce section",3.4240367,French,Jordan,1,2,1,0,2,0,2,0,1,1,2,0
"Liège mousse (chocolate, coffee, caramel or vanilla), fresh produce section",0.35841347,French,Isle of Man,2,1,2,0,1,0,1,2,2,0,2,0
"Liège mousse (chocolate, coffee, caramel or vanilla), fresh produce section",0.52261867,French,Nauru,0,0,1,2,1,2,0,1,2,0,0,1
"Liège mousse (chocolate, coffee, caramel or vanilla), fresh produce section",0.047458169,French,Barbados,1,1,1,1,0,0,0,1,1,2,0,1
"Liège mousse (chocolate, coffee, caramel or vanilla), fresh produce section",0.72705796,French,Lebanon,2,0,1,0,2,0,0,2,1,1,1,0
French toast,0.36628034,French,Gabon,2,1,0,0,0,0,0,1,1,0,2,0
French toast,0.19094265,French,Canada,0,0,2,1,0,2,2,0,1,2,1,0
French toast,0.5185752,French,Faroe Islands,0,1,2,2,2,1,2,2,1,1,0,2
French toast,0.086527847,French,Côte d'Ivoire,2,0,1,0,2,1,2,0,2,1,2,0
French toast,0.06169562,French,Serbia,0,0,2,1,2,1,2,0,0,1,0,0
French toast,0.95873794,French,Belize,1,0,2,0,2,1,2,2,1,2,0,2
"Panna cotta, fresh section",1.4219846,French,Brazil,2,0,2,2,1,1,0,0,0,1,0,0
"Panna cotta, fresh section",0.087204386,French,"Bolivia, Plurinational State of",1,1,0,2,0,2,1,2,0,0,2,2
"Panna cotta, fresh section",0.87308596,French,Gambia,2,0,2,2,0,2,0,1,2,1,2,1
"Profiteroles (pastry cream and chocolate sauce), fresh produce section",0.39720011,French,Angola,0,2,1,2,2,1,0,2,0,0,0,2
"Profiteroles (pastry cream and chocolate sauce), fresh produce section",0.13839753,French,Montenegro,1,1,1,1,0,2,1,0,0,1,0,0
"Profiteroles (pastry cream and chocolate sauce), fresh produce section",2.2766202,French,Tokelau,0,1,1,0,0,1,0,2,2,0,0,0
"Profiteroles (pastry cream and chocolate sauce), fresh produce section",0.30173413,French,"Venezuela, Bolivarian Republic of",1,1,0,1,1,0,0,0,2,2,1,0
"Profiteroles (pastry cream and chocolate sauce), fresh produce section",0.10614112,French,Côte d'Ivoire,0,0,0,0,2,1,1,2,2,2,1,2
"Profiteroles (pastry cream and chocolate sauce), fresh produce section",0.058227386,French,Angola,0,0,2,2,0,2,0,2,1,1,2,1
"Profiteroles (pastry cream and chocolate sauce), fresh produce section",0.021059563,French,Serbia,2,2,0,1,1,0,2,1,2,2,2,2
"Profiteroles (pastry cream and chocolate sauce), fresh produce section",0.94781514,French,Bouvet Island,1,1,0,0,1,2,1,0,2,2,0,0
"Rice pudding, fresh section",0.12619443,French,Cook Islands,0,1,2,0,2,2,1,2,1,1,0,1
"Rice pudding, fresh section",0.21660152,French,Bulgaria,0,2,1,1,0,2,1,2,0,2,2,1
"Rice pudding, fresh section",0.57215119,French,Papua New Guinea,1,0,1,2,1,2,0,0,1,2,0,2
"Rice pudding, fresh section",0.054161636,French,Åland Islands,0,1,1,1,2,0,0,2,0,0,1,2
"Rice pudding, fresh section",0.8732110799999999,French,Kenya,0,2,1,1,0,0,0,2,1,2,2,1
"Milk semolina, fresh section",0.035915197,French,Sint Maarten (Dutch part),0,1,2,1,1,0,1,0,0,0,2,0
"Milk semolina, fresh section",0.83699856,French,North Macedonia,0,0,2,1,1,2,1,1,2,0,2,1
"Milk semolina, fresh section",0.053924345,French,Suriname,1,2,0,1,1,2,2,0,0,0,0,2
"Milk semolina, fresh section",0.87317788,French,Slovenia,2,0,1,1,0,0,0,0,0,0,0,2
"Tiramisu, fresh section",0.21678452,French,Indonesia,2,2,1,2,1,2,1,2,2,2,2,1
"Tiramisu, fresh section",6.4051508,French,Macao,1,0,2,2,2,2,0,1,0,2,2,2
"Tiramisu, fresh section",0.11155629,French,El Salvador,0,0,1,1,0,1,0,2,0,0,0,1
"Tiramisu, fresh section",0.049381732,French,Sint Maarten (Dutch part),2,1,0,0,1,0,1,0,0,0,0,2
"Tiramisu, fresh section",2.9406575,French,Israel,0,1,1,2,2,0,0,1,2,1,2,0
"Tiramisu, fresh section",0.0301221,French,Cocos (Keeling) Islands,0,0,0,2,0,1,0,2,2,1,1,0
"Tiramisu, fresh section",0.102391,French,Saint Barthélemy,1,0,2,1,0,2,0,0,0,0,2,0
"Tiramisu, fresh section",0.80167189,French,Bosnia and Herzegovina,0,1,1,2,1,1,1,1,1,2,0,1
"Greek yogurt, with sheep's milk",1.8329005,French,Saint Pierre and Miquelon,2,1,2,2,1,2,0,2,0,0,1,1
"Greek yogurt, with sheep's milk",0.034493623,French,Saint Martin (French part),0,2,0,0,1,1,1,0,0,0,2,0
"Greek yogurt, with sheep's milk",0.8335068600000001,French,Macao,2,0,0,2,0,2,2,1,0,1,2,1
"Greek yogurt, plain",1.8924243,French,Gabon,0,0,1,1,1,1,2,2,0,1,1,0
"Greek yogurt, on a bed of fruit",0.099845505,French,Tuvalu,1,1,0,0,2,2,1,0,0,2,1,1
"Greek yogurt, on a bed of fruit",0.44891657,French,French Southern Territories,2,0,2,2,2,2,1,0,0,2,2,0
"Greek yogurt, on a bed of fruit",0.031288739,French,Trinidad and Tobago,0,2,0,2,1,0,1,0,2,1,0,0
"Greek yogurt, on a bed of fruit",1.3081925870000002,French,Anguilla,2,0,2,0,1,0,0,1,0,2,1,0
"Goat milk yogurt, natural, approximately 5% fat",1.2086672,French,Luxembourg,2,2,0,1,1,1,0,2,2,0,0,1
"Goat milk yogurt, natural, approximately 5% fat",0.8335068600000001,French,Ireland,2,2,0,2,0,0,2,1,0,0,2,2
"Yogurt, fermented milk or dairy specialty, flavored, with sweeteners, 0% fat",0.11436849,French,Angola,1,1,0,1,1,2,2,1,2,0,2,1
"Yogurt, fermented milk or dairy specialty, flavored, with sweeteners, 0% fat",0.87828667,French,"Saint Helena, Ascension and Tristan da Cunha",2,1,2,2,0,0,0,1,2,1,1,0
"Yogurt, fermented milk or dairy specialty, flavored, with sweeteners, 0% fat",0.88211883,French,Montenegro,1,1,0,2,0,1,2,0,1,2,1,0
"Yogurt, fermented milk or dairy specialty, flavored, sweetened",0.11436849,French,Jersey,1,0,0,0,0,2,2,1,0,2,2,2
"Yogurt, fermented milk or dairy specialty, flavored, sweetened",0.87828667,French,"Micronesia, Federated States of",0,1,1,2,1,1,0,0,0,1,0,1
"Yogurt, fermented milk or dairy specialty, flavored, sweetened",0.88211883,French,Iraq,2,0,1,2,0,1,1,1,0,1,0,2
"Yogurt, fermented milk or dairy specialty, flavored, sweetened, with cream",0.19577241,French,Ukraine,0,1,1,2,0,1,0,1,1,0,0,0
"Yogurt, fermented milk or dairy specialty, flavored, sweetened, with cream",0.7808065,French,Japan,0,2,2,0,1,2,0,0,2,1,1,1
"Yogurt, fermented milk or dairy specialty, flavored, sweetened, with cream",0.038741606,French,Rwanda,1,1,2,2,1,2,0,0,2,1,1,0
"Yogurt, fermented milk or dairy specialty, flavored, sweetened, with cream",0.8335068600000001,French,Palau,2,2,0,0,0,1,2,0,1,0,0,0
"Yogurt, fermented milk or dairy specialty, with cereals",0.22214883,French,Kyrgyzstan,1,2,2,1,1,1,1,0,1,1,2,0
"Yogurt, fermented milk or dairy specialty, with cereals",0.2405369,French,New Zealand,1,0,2,0,0,0,2,2,2,1,1,0
"Yogurt, fermented milk or dairy specialty, with cereals",0.87146001,French,Latvia,2,2,1,1,0,1,0,1,2,0,1,2
"Yogurt, fermented milk or dairy specialty, with cereals",0.11787303,French,United States Minor Outlying Islands,2,0,2,2,2,0,2,2,1,1,2,0
"Yogurt, fermented milk or dairy specialty, with cereals",0.887811,French,Algeria,2,1,0,0,1,0,2,0,2,0,0,0
"Yogurt, fermented milk or dairy specialty, with cereals, 0% fat",0.22214883,French,"Bonaire, Sint Eustatius and Saba",1,1,1,0,0,0,0,0,1,1,0,0
"Yogurt, fermented milk or dairy specialty, with cereals, 0% fat",0.2405369,French,Congo,0,1,0,1,2,2,2,2,2,0,0,2
"Yogurt, fermented milk or dairy specialty, with cereals, 0% fat",0.87146001,French,Croatia,0,0,1,1,0,1,1,2,0,1,1,2
"Yogurt, fermented milk or dairy specialty, with cereals, 0% fat",0.11787303,French,Cocos (Keeling) Islands,1,0,2,2,0,0,1,2,1,0,1,1
"Yogurt, fermented milk or dairy specialty, with cereals, 0% fat",0.887811,French,Aruba,2,1,2,0,1,0,0,1,0,1,1,1
"Yogurt, fermented milk or dairy specialty, with chocolate shavings, cream, sweetened",0.34778519,French,Greenland,0,1,2,0,1,0,2,1,2,0,1,2
"Yogurt, fermented milk or dairy specialty, with chocolate shavings, cream, sweetened",0.26595212,French,"Korea, Democratic People's Republic of",2,2,1,0,0,2,0,0,2,1,0,2
"Yogurt, fermented milk or dairy specialty, with chocolate shavings, cream, sweetened",0.9643393,French,Togo,2,2,1,0,2,0,0,2,0,0,1,1
"Yogurt, fermented milk or dairy specialty, with chocolate shavings, cream, sweetened",0.9268421,French,Åland Islands,0,1,1,2,0,0,1,2,1,1,2,2
"Yogurt, fermented milk or dairy specialty, with fruit, with sweeteners, 0% fat",0.099845505,French,United Arab Emirates,0,2,2,0,0,0,1,2,2,2,1,1
"Yogurt, fermented milk or dairy specialty, with fruit, with sweeteners, 0% fat",0.44891657,French,South Africa,1,1,0,1,2,2,1,0,2,2,0,0
"Yogurt, fermented milk or dairy specialty, with fruit, with sweeteners, 0% fat",0.031288739,French,Sri Lanka,2,0,1,0,1,1,2,2,1,0,0,1
"Yogurt, fermented milk or dairy specialty, with fruit, with sweeteners, 0% fat",1.3081925870000002,French,Slovenia,1,1,1,1,0,2,2,1,1,0,2,1
"Yogurt, fermented milk or dairy specialty, with fruit, with sweeteners, 0% fat, enriched with vitamin D",0.099845505,French,Cameroon,2,0,0,1,0,1,1,1,0,2,1,0
"Yogurt, fermented milk or dairy specialty, with fruit, with sweeteners, 0% fat, enriched with vitamin D",0.44891657,French,Eritrea,0,1,0,2,1,2,2,2,2,1,2,2
"Yogurt, fermented milk or dairy specialty, with fruit, with sweeteners, 0% fat, enriched with vitamin D",0.031288739,French,Mozambique,1,1,0,2,2,2,1,2,2,1,1,0
"Yogurt, fermented milk or dairy specialty, with fruit, with sweeteners, 0% fat, enriched with vitamin D",1.3081925870000002,French,"Iran, Islamic Republic of",2,1,1,0,0,1,1,0,2,1,0,0
"Yogurt, fermented milk or dairy specialty, with fruit, sweetened",0.099845505,French,Mozambique,2,0,1,2,0,0,2,0,1,2,2,1
"Yogurt, fermented milk or dairy specialty, with fruit, sweetened",0.44891657,French,Saint Kitts and Nevis,0,1,2,1,2,0,1,0,2,1,0,1
"Yogurt, fermented milk or dairy specialty, with fruit, sweetened",0.031288739,French,British Indian Ocean Territory,1,2,0,1,2,2,0,0,0,2,2,1
"Yogurt, fermented milk or dairy specialty, with fruit, sweetened",1.3081925870000002,French,Bangladesh,2,1,2,1,1,2,2,2,1,0,0,0
"Yogurt, fermented milk or dairy specialty, with fruit, sweetened, with cream",0.099845505,French,Montserrat,1,2,1,2,0,2,0,1,0,2,0,0
"Yogurt, fermented milk or dairy specialty, with fruit, sweetened, with cream",0.44891657,French,Vanuatu,2,0,2,0,0,0,2,0,2,1,1,2
"Yogurt, fermented milk or dairy specialty, with fruit, sweetened, with cream",0.031288739,French,New Zealand,0,0,0,1,2,2,2,1,2,2,1,0
"Yogurt, fermented milk or dairy specialty, with fruit, sweetened, with cream",1.3081925870000002,French,Lebanon,0,0,0,2,2,2,0,2,0,1,2,0
"Yogurt, fermented milk or dairy specialty, with fruit, sweetened, enriched with vitamin D",0.099845505,French,Saint Barthélemy,2,0,1,0,0,2,0,0,2,0,2,1
"Yogurt, fermented milk or dairy specialty, with fruit, sweetened, enriched with vitamin D",0.44891657,French,Saint Barthélemy,1,2,0,0,0,0,2,0,2,1,0,1
"Yogurt, fermented milk or dairy specialty, with fruit, sweetened, enriched with vitamin D",0.031288739,French,Samoa,2,1,0,0,2,1,1,1,0,1,2,1
"Yogurt, fermented milk or dairy specialty, with fruit, sweetened, enriched with vitamin D",1.3081925870000002,French,Dominican Republic,0,2,0,1,0,0,2,2,1,2,2,2
"Yogurt, fermented milk or dairy specialty, plain",1.8924243,French,Marshall Islands,2,2,1,1,2,1,0,1,0,2,2,2
"Yogurt, fermented milk or dairy specialty, plain, 0% fat",1.8924243,French,Belize,0,2,0,1,1,1,1,2,1,0,0,2
"Yogurt, fermented milk or dairy specialty, plain, with cream",0.20532229,French,Maldives,0,0,0,1,1,0,2,1,1,2,1,2
"Yogurt, fermented milk or dairy specialty, plain, with cream",0.37305911,French,Liberia,0,0,1,0,1,1,2,2,1,0,1,2
"Yogurt, fermented milk or dairy specialty, plain, with cream",0.80107466,French,Ireland,2,1,1,2,0,0,0,2,0,2,2,1
"Yogurt, fermented milk or dairy specialty, plain, with cream",0.8335068600000001,French,Luxembourg,1,0,0,0,0,2,1,1,1,2,1,2
"Yogurt, fermented milk or dairy specialty, plain, sweetened",0.058545773,French,Holy See (Vatican City State),1,1,1,2,2,1,0,2,1,2,2,1
"Yogurt, fermented milk or dairy specialty, plain, sweetened",0.44252136,French,Azerbaijan,2,2,1,0,2,0,1,1,0,2,1,0
"Yogurt, fermented milk or dairy specialty, plain, sweetened",1.354205981,French,Puerto Rico,0,1,0,2,0,1,2,2,0,0,0,1
Combined oil (mixture of oils),0.16581026,French,Liberia,2,0,2,2,0,0,2,0,1,1,0,1
Combined oil (mixture of oils),1.3489036,French,Thailand,1,2,0,1,0,0,0,0,1,0,2,2
Combined oil (mixture of oils),0.73706326,French,Jersey,2,1,2,0,0,1,0,0,0,2,0,2
Combined oil (mixture of oils),0.25028655,French,Ghana,1,2,2,2,0,2,1,0,2,1,0,0
"Combined oil, mixture of olive oil and seeds",0.15218397,French,Cocos (Keeling) Islands,0,0,0,2,0,1,2,2,0,1,2,0
"Combined oil, mixture of olive oil and seeds",0.16581026,French,Cayman Islands,1,2,2,2,2,0,0,0,2,2,1,1
"Combined oil, mixture of olive oil and seeds",1.3938671,French,Georgia,2,0,1,0,2,1,1,0,0,1,0,1
"Combined oil, mixture of olive oil and seeds",0.27376635,French,Bermuda,0,1,2,0,2,0,2,2,1,2,2,0
"Combined oil, mixture of olive oil and seeds",0.25028655,French,United States Minor Outlying Islands,1,2,2,1,0,0,1,1,0,0,2,0
Fat or solid vegetable fat (margarine type) for frying,1.9856277,French,Slovenia,2,0,0,1,0,1,2,2,0,0,2,0
Fat or solid vegetable fat (margarine type) for frying,0.066919594,French,Tonga,2,1,2,1,0,0,2,1,1,2,0,1
Fat or solid vegetable fat (margarine type) for frying,0.53218685,French,Georgia,2,0,1,2,0,2,1,1,0,0,2,2
"Vegetable fat (margarine type) at 30-40% fat, light, semi-salted, with plant sterol esters",0.25288315,French,Azerbaijan,2,0,1,0,1,1,1,1,1,0,1,0
"Vegetable fat (margarine type) at 30-40% fat, light, semi-salted, with plant sterol esters",0.066583315,French,Bosnia and Herzegovina,2,2,2,1,1,1,2,0,1,1,0,1
"Vegetable fat (margarine type) at 30-40% fat, light, semi-salted, with plant sterol esters",0.034530233,French,American Samoa,1,2,1,2,2,0,0,0,0,2,0,0
"Vegetable fat (margarine type) at 30-40% fat, light, semi-salted, with plant sterol esters",1.0435111,French,Chad,2,1,1,1,2,0,0,1,1,2,0,1
"Vegetable fat (margarine type) at 30-40% fat, light, semi-salted, with plant sterol esters",0.38934679,French,"Iran, Islamic Republic of",0,1,2,2,2,0,0,1,2,2,0,2
"Vegetable fat (margarine type) at 30-40% fat, light, semi-salted, with plant sterol esters",0.5296678448700001,French,Japan,2,2,0,0,0,1,1,1,1,0,1,0
"Vegetable fat (margarine type) at 50-63% fat, low fat, semi-salted",0.42081337,French,Netherlands,0,1,1,1,0,2,1,1,2,0,1,2
"Vegetable fat (margarine type) at 50-63% fat, low fat, semi-salted",0.066583315,French,Austria,0,2,2,0,0,2,0,1,1,1,1,0
"Vegetable fat (margarine type) at 50-63% fat, low fat, semi-salted",0.034530233,French,Austria,2,0,2,2,2,0,2,0,2,2,0,0
"Vegetable fat (margarine type) at 50-63% fat, low fat, semi-salted",1.7295764,French,Czechia,2,0,0,2,1,1,1,0,2,2,0,1
"Vegetable fat (margarine type) at 50-63% fat, low fat, semi-salted",0.38934679,French,Ireland,2,0,2,1,1,2,1,1,1,2,2,0
"Vegetable fat (margarine type) at 50-63% fat, low fat, semi-salted",0.5295980423700001,French,Georgia,1,1,0,0,2,2,1,2,2,1,1,0
"Vegetable fat (margarine type) at 50-63% fat, low fat, semi-salted, rich in omega 3",0.076980256,French,Paraguay,2,0,1,2,0,2,0,1,0,1,1,1
"Vegetable fat (margarine type) at 50-63% fat, low fat, semi-salted, rich in omega 3",0.23030795,French,Saint Lucia,1,0,1,2,1,0,2,2,1,1,2,0
"Vegetable fat (margarine type) at 50-63% fat, low fat, semi-salted, rich in omega 3",0.066583315,French,Bermuda,0,2,1,1,0,0,0,0,2,0,1,0
"Vegetable fat (margarine type) at 50-63% fat, low fat, semi-salted, rich in omega 3",0.3315044,French,Canada,0,2,1,0,0,1,0,0,1,0,2,0
"Vegetable fat (margarine type) at 50-63% fat, low fat, semi-salted, rich in omega 3",0.5500053,French,Latvia,2,2,0,0,0,1,1,1,0,1,1,0
"Vegetable fat (margarine type) at 50-63% fat, low fat, semi-salted, rich in omega 3",0.49882321,French,"Taiwan, Province of China",0,2,2,1,2,2,1,2,0,1,2,1
"Vegetable fat (margarine type) at 50-63% fat, low fat, semi-salted, rich in omega 3",0.0046805872,French,Iceland,0,2,0,2,0,2,0,1,2,0,2,1
"Vegetable fat (margarine type) at 50-63% fat, low fat, semi-salted, rich in omega 3",0.15874369,French,Thailand,0,2,2,0,0,1,1,1,2,1,0,2
"Vegetable fat (margarine type) at 50-63% fat, low fat, semi-salted, rich in omega 3",0.588833161,French,Saint Barthélemy,2,1,2,1,1,2,0,1,0,0,0,1
"Vegetable fat (margarine type) at 50-63% fat, low fat, sweet",1.0945099,French,Norfolk Island,0,1,2,0,0,0,2,1,0,1,1,2
"Vegetable fat (margarine type) at 50-63% fat, low fat, sweet",0.066583315,French,Samoa,1,0,2,0,0,1,1,1,1,2,2,1
"Vegetable fat (margarine type) at 50-63% fat, low fat, sweet",0.13627816,French,Curaçao,2,1,1,1,0,1,1,0,2,2,1,1
"Vegetable fat (margarine type) at 50-63% fat, low fat, sweet",0.16933495,French,Israel,1,1,0,2,0,2,0,1,0,2,0,2
"Vegetable fat (margarine type) at 50-63% fat, low fat, sweet",0.52947116,French,United States,1,2,0,1,0,2,2,2,0,0,1,0
"Vegetable fat (margarine type) at 50-63% fat, low fat, mild, with plant sterol esters",1.1814385,French,Saint Martin (French part),0,0,1,2,2,0,0,1,0,1,0,0
"Vegetable fat (margarine type) at 50-63% fat, low fat, mild, with plant sterol esters",0.066583315,French,Madagascar,2,2,0,2,0,0,2,0,2,1,1,0
"Vegetable fat (margarine type) at 50-63% fat, low fat, mild, with plant sterol esters",0.12113614,French,Réunion,0,0,0,2,0,0,1,0,1,1,0,1
"Vegetable fat (margarine type) at 50-63% fat, low fat, mild, with plant sterol esters",0.16933495,French,Zambia,0,1,2,2,0,0,1,1,1,0,1,0
"Vegetable fat (margarine type) at 50-63% fat, low fat, mild, with plant sterol esters",0.52947116,French,Slovakia,0,2,2,1,2,2,1,1,1,2,2,2
"Vegetable fat (margarine type) at 50-63% fat, low fat, soft, rich in omega 3",0.078002118,French,Ghana,2,1,0,0,0,2,2,2,0,2,0,2
